Animal ID,Found Location,At AAC,Intake Date,Type,Looks Like,Color,Sex,Age,Image Link
A804416,"1800 EAST STASSNEY LANE
AUSTIN 78744
(30.197188, -97.761024)",Yes (come to the shelter),9/14/19,Dog,Pointer,White/Black,Intact Female,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A804416
A804446,"6601 NEEDHAM LANE
AUSTIN 78739
(30.186848, -97.894789)",Yes (come to the shelter),9/14/19,Cat,Domestic Shorthair,Brown Tabby,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A804446
A804412,"FLORADALE DRIVE
AUSTIN 78753",Yes (come to the shelter),9/14/19,Dog,Pit Bull Mix,Tan/White,Intact Female,9 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A804412
A804463,"1009 WEST DITTMAR ROAD
AUSTIN 78745
(30.185674, -97.801794)",Yes (come to the shelter),9/14/19,Dog,Labrador Retriever,White,Intact Male,10 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A804463
A804418,"183 AND LAKELINE BOULEVARD
AUSTIN 78717",Yes (come to the shelter),9/14/19,Dog,Pointer,Black/White,Intact Male,7 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A804418
A804300,"SUNNY HILLS DRIVE
AUSTIN 78744",No (contact for more info),9/12/19,Dog,Rat Terrier,White/Black,Unknown,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A804300
A804542,"5300 TX
EAST AUSTIN 78617",Yes (come to the shelter),9/15/19,Dog,German Shepherd,Tan,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A804542
A804539,"23081 NAMELESS78641
(30.543343, -97.941121)",Yes (come to the shelter),9/15/19,Cat,Domestic Shorthair Mix,Brown Tabby,Intact Female,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A804539
A804540,"23081 NAMELESS78641
(30.543343, -97.941121)",Yes (come to the shelter),9/15/19,Cat,Domestic Shorthair Mix,Brown Tabby/White,Intact Female,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A804540
A804248,"1308 THORNBERRY
AUSTIN 78617
(30.223009, -97.66425)",Yes (come to the shelter),9/12/19,Dog,Old English Sheepdog,Gray/White,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A804248
A804299,"7200 COMANCHE TRAIL
AUSTIN 78732
(30.418658, -97.89612)",Yes (come to the shelter),9/12/19,Dog,German Shepherd,Red/White,Neutered Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A804299
A804541,"8714 FARM
AUSTIN 78719",No (contact for more info),9/15/19,Dog,Chihuahua Shorthair,Red,Intact Female,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A804541
A804686,"4704 SALOMA DRIVE
AUSTIN 78749
(30.210165, -97.852888)",Yes (come to the shelter),9/17/19,Dog,Chow Chow,Red,Unknown,4 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A804686
A804257,"GUNTER STREET
AUSTIN 78702",No (contact for more info),9/12/19,Dog,Miniature Pinscher,Tricolor,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A804257
A804682,"10640 MARSHITAHS WAY
AUSTIN 78748
(30.160173, -97.826054)",Yes (come to the shelter),9/17/19,Cat,Domestic Shorthair Mix,Cream Tabby,Intact Male,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A804682
A804617,"6800 AUCKLAND DRIVE
AUSTIN 78749
(30.212431, -97.886379)",Yes (come to the shelter),9/16/19,Cat,Domestic Shorthair,Gray Tabby,Intact Male,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A804617
A804618,"6800 AUCKLAND DRIVE
AUSTIN 78749
(30.212431, -97.886379)",Yes (come to the shelter),9/16/19,Cat,Domestic Shorthair,Gray Tabby,Intact Male,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A804618
A804340,"KRAMER ROAD MACMORA LANE AUSTIN 78758
(30.384311, -97.706726)",Yes (come to the shelter),9/13/19,Dog,Chihuahua Longhair,Black/Tan,Intact Male,3 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A804340
