,lon,lat,addresses,LooksLike
146,30.470335,-97.634016,17720 REGIS DRIVE,Labrador Retriever/Pit Bull
147,30.232414,-97.737208,1747 EAST OLTORF STREET,Pit Bull
148,30.304224,-97.472063,10511 HIBBS LANE78653,Domestic Shorthair
149,30.304224,-97.472063,10511 HIBBS LANE78653,Domestic Shorthair
150,,,CESAR CHAVEZ,Domestic Shorthair
151,30.364203,-97.739513,8015 SHOAL CREEK BOULEVARD,Mastiff
152,,,14010 US,Domestic Shorthair
153,,,LITTIG ROAD78653,German Shepherd
154,30.160173,-97.826054,10640 MARSHITAHS WAY,Domestic Shorthair Mix
155,,,AIRPORT,Pit Bull Mix
156,30.459265,-97.816154,12109 TANGLEBRIAR TRAIL,Domestic Shorthair
157,,,BURLESON,Pointer
158,30.274245,-97.70413,1178 RIDGEWAY DRIVE,Domestic Shorthair
159,,,8718 FM,Domestic Medium Hair
160,30.459265,-97.816154,12109 TANGLEBRIAR TRAIL,Domestic Shorthair
161,30.459265,-97.816154,12109 TANGLEBRIAR TRAIL,Domestic Shorthair
162,30.459265,-97.816154,12109 TANGLEBRIAR TRAIL,Domestic Shorthair
163,30.446401,-97.759901,12917 MARGIT DRIVE,American Staffordshire Terrier Mix
164,30.338079,-97.560887,11509 BRENHAM STREET MANOR78653,Domestic Shorthair
165,30.459265,-97.816154,12109 TANGLEBRIAR TRAIL,Domestic Shorthair
166,30.459265,-97.816154,12109 TANGLEBRIAR TRAIL,Russian Blue
167,30.178699,-97.822151,9402 KEMPLER DRIVE,Labrador Retriever
168,,,8718 FM,Domestic Medium Hair
169,30.138837,-97.583917,8102 LINDEN ROAD78617,Domestic Shorthair
170,30.160173,-97.826054,10640 MARSHITAHS WAY,Domestic Shorthair Mix
171,30.210165,-97.852888,4704 SALOMA DRIVE,Chow Chow
172,,,EAST THRASHER LANE,Pit Bull
173,30.174068,-97.628622,5513 PASEA NUEVO CIRCLE78617,Domestic Shorthair
174,30.35512,-97.715398,8220 RESEARCH BOULEVARD,Pit Bull
175,30.173693,-97.821911,1807 WEST SLAUGHTER LANE,Smooth Fox Terrier
176,30.252635,-97.692346,729 AIRPORT BLVD,Labrador Retriever Mix
177,30.212431,-97.886379,6800 AUCKLAND DRIVE,Domestic Shorthair
178,,,HOLLY,Staffordshire Mix
179,,,24TH STREET,Labrador Retriever Mix
180,30.32903,-97.724395,6010 NORTH LAMAR BOULEVARD,Chihuahua Shorthair
181,,,8010 N IH,Pit Bull/Labrador Retriever
